epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1283.9,0.51211,0.54789,0.96844,0.84544,0.75714,0.82543,0.68697,0.67049,0.80664,0.94624,0.000594321,0.000594321,0.000594321
61,1304.87,0.53452,0.56912,0.98132,0.88323,0.75645,0.82568,0.69253,0.64573,0.76178,0.94503,0.000580174,0.000580174,0.000580174
62,1325.91,0.52879,0.55602,0.97211,0.88722,0.77762,0.84737,0.71263,0.64161,0.73938,0.95544,0.000566027,0.000566027,0.000566027
63,1346.88,0.51472,0.53277,0.96457,0.8698,0.78269,0.83421,0.70639,0.64227,0.76794,0.93542,0.00055188,0.00055188,0.00055188
64,1367.8,0.51502,0.52385,0.95959,0.87243,0.78707,0.84961,0.69991,0.66194,0.71137,0.98117,0.000537733,0.000537733,0.000537733
65,1388.8,0.50077,0.52852,0.95207,0.89271,0.76286,0.84458,0.71088,0.64967,0.73101,0.94929,0.000523586,0.000523586,0.000523586
66,1409.81,0.50063,0.51978,0.9487,0.882,0.7895,0.84944,0.723,0.64237,0.71698,0.94999,0.000509438,0.000509438,0.000509438
67,1430.95,0.50598,0.52767,0.94729,0.84859,0.80918,0.85281,0.721,0.63989,0.67745,0.94049,0.000495291,0.000495291,0.000495291
68,1451.93,0.51357,0.52687,0.96897,0.89385,0.77607,0.84778,0.7236,0.63904,0.71723,0.93303,0.000481144,0.000481144,0.000481144
69,1473.06,0.49802,0.50129,0.96192,0.84028,0.81685,0.85225,0.73765,0.59156,0.69566,0.89432,0.000466997,0.000466997,0.000466997
70,1494.19,0.4873,0.49609,0.95403,0.89361,0.79668,0.85275,0.74286,0.57947,0.69328,0.88987,0.00045285,0.00045285,0.00045285
71,1515.27,0.48825,0.52304,0.96123,0.90278,0.77527,0.85096,0.73032,0.6041,0.72305,0.92039,0.000438703,0.000438703,0.000438703
72,1536.34,0.49597,0.51033,0.95493,0.86065,0.7998,0.84963,0.73003,0.60351,0.72204,0.91718,0.000424556,0.000424556,0.000424556
73,1557.38,0.49138,0.51653,0.94855,0.8769,0.7959,0.84803,0.7412,0.56333,0.67138,0.88387,0.000410409,0.000410409,0.000410409
74,1578.47,0.48502,0.503,0.94813,0.89828,0.78738,0.85392,0.74772,0.56607,0.66725,0.88701,0.000396262,0.000396262,0.000396262
75,1599.56,0.4706,0.50804,0.94962,0.88308,0.79182,0.8556,0.73917,0.58507,0.66542,0.89257,0.000382115,0.000382115,0.000382115
76,1620.61,0.46221,0.48778,0.93854,0.88291,0.80318,0.85578,0.73581,0.59362,0.6964,0.90927,0.000367967,0.000367967,0.000367967
77,1641.69,0.48155,0.49664,0.95718,0.91979,0.77492,0.84143,0.72878,0.59614,0.69678,0.91761,0.00035382,0.00035382,0.00035382
78,1662.69,0.46968,0.49077,0.94715,0.87593,0.80251,0.85956,0.75039,0.55816,0.66216,0.88336,0.000339673,0.000339673,0.000339673
79,1683.72,0.44984,0.44799,0.93795,0.89821,0.79786,0.85483,0.74418,0.56751,0.67296,0.88608,0.000325526,0.000325526,0.000325526
80,1704.64,0.47367,0.47026,0.95599,0.89362,0.80496,0.85808,0.75093,0.573,0.66135,0.90092,0.000311379,0.000311379,0.000311379
81,1725.7,0.45329,0.46751,0.94013,0.84946,0.82349,0.85134,0.74114,0.56357,0.67832,0.90086,0.000297232,0.000297232,0.000297232
82,1746.65,0.44571,0.45775,0.93582,0.89103,0.79589,0.8621,0.7551,0.54176,0.63906,0.87116,0.000283085,0.000283085,0.000283085
83,1767.67,0.45016,0.45041,0.93318,0.87091,0.82048,0.86641,0.7567,0.54368,0.63035,0.86932,0.000268938,0.000268938,0.000268938
84,1788.54,0.44915,0.46384,0.94413,0.86713,0.81984,0.87048,0.76158,0.52922,0.62652,0.86055,0.000254791,0.000254791,0.000254791
85,1809.41,0.43964,0.4485,0.93542,0.8988,0.81425,0.87288,0.76054,0.54622,0.61818,0.86881,0.000240644,0.000240644,0.000240644
86,1830.2,0.43981,0.43409,0.93674,0.88478,0.82811,0.87644,0.76591,0.54869,0.59554,0.88037,0.000226497,0.000226497,0.000226497
87,1851.06,0.43297,0.42834,0.92481,0.87739,0.8268,0.87522,0.7746,0.53446,0.58243,0.87086,0.000212349,0.000212349,0.000212349
88,1872.03,0.41943,0.42018,0.92853,0.88363,0.82304,0.8718,0.76664,0.53788,0.60764,0.87672,0.000198202,0.000198202,0.000198202
89,1892.95,0.42858,0.44677,0.93311,0.89327,0.81412,0.87057,0.76926,0.5221,0.62402,0.86745,0.000184055,0.000184055,0.000184055
90,1913.8,0.41261,0.42847,0.9255,0.89016,0.81648,0.87032,0.76727,0.52116,0.62218,0.87398,0.000169908,0.000169908,0.000169908
91,1935.08,0.41797,0.47065,0.97217,0.92147,0.79917,0.87775,0.76084,0.54146,0.59979,0.88873,0.000155761,0.000155761,0.000155761
92,1955.78,0.42989,0.44964,0.98326,0.90841,0.80988,0.87715,0.76722,0.53535,0.59782,0.87405,0.000141614,0.000141614,0.000141614
93,1976.5,0.43155,0.44066,0.99833,0.91468,0.80701,0.87395,0.77347,0.52723,0.60136,0.87662,0.000127467,0.000127467,0.000127467
94,1997.21,0.4095,0.40604,0.97071,0.91735,0.81769,0.88017,0.77432,0.51291,0.56654,0.8607,0.00011332,0.00011332,0.00011332
95,2018.02,0.39401,0.39904,0.95862,0.91519,0.82924,0.88188,0.781,0.5016,0.55648,0.84868,9.91726e-05,9.91726e-05,9.91726e-05
96,2038.9,0.39383,0.38441,0.96332,0.93014,0.80234,0.87781,0.78061,0.50451,0.56703,0.84973,8.50255e-05,8.50255e-05,8.50255e-05
97,2059.67,0.38852,0.40608,0.96417,0.91956,0.81854,0.87991,0.77601,0.50522,0.5587,0.85943,7.08784e-05,7.08784e-05,7.08784e-05
98,2080.37,0.3716,0.38649,0.93985,0.92704,0.81675,0.87698,0.7796,0.49507,0.55591,0.85266,5.67313e-05,5.67313e-05,5.67313e-05
99,2101.04,0.37796,0.38572,0.94842,0.92305,0.81701,0.87922,0.77875,0.49514,0.5559,0.84835,4.25842e-05,4.25842e-05,4.25842e-05
100,2121.67,0.36921,0.36989,0.94441,0.93178,0.81298,0.87995,0.78032,0.48678,0.54945,0.84482,2.84371e-05,2.84371e-05,2.84371e-05
